CHMG,-1,6205,1,1685,-0,0336675381263616557734204793
CHRW,-1,2108,1,5936,-0,0081997821350762527233115468
CHS,-0,3943,0,3592,0,0296034858387799564270152505
CHSP,-0,4391,0,3621,0,0025797385620915032679738562
CHTR,-4,7100,4,5900,-0,0160348583877995642701525054
CHUY,-1,6200,2,2000,-0,0191938997821350762527233115
CI,-3,5243,2,3362,-0,0589797385620915032679738562
CIA,-0,6600,0,7200,0,0317864923747276688453159041
CIEN,-2,1500,1,5700,-0,0450544662309368191721132898
CIM,-0,1134,0,1981,0,0054699346405228758169934641
CINF,-0,5310,1,1563,0,0741350762527233115468409586
CIR,-3,5692,10,7965,0,3445180827886710239651416122
CIT,-1,7831,0,9335,-0,0160172113289760348583877996
CIVB,-0,2178,0,3969,0,0028413943355119825708061002
CIX,-1,0686,0,9304,-0,046652069716775599128540305
CKH,-4,4487,2,7079,0,2077270152505446623093681917
CL,-1,0889,1,2442,0,1133474945533769063180827887
CLAR,-1,7857,1,0076,0,0209952069716775599128540305
CLD,-0,7000,0,7500,0,0235294117647058823529411765
CLDT,-0,9779,1,2602,0,0265568627450980392156862745
CLF,-1,1579,1,5886,0,1184886710239651416122004357
CLFD,-0,9100,1,7300,0,1136819172113289760348583878
CLGX,-0,6300,5,3500,0,1888235294117647058823529412
CLH,-3,1100,1,4200,-0,091132897603485838779956427
CLI,-0,5212,0,9018,-0,0286032679738562091503267974
CLNE,-1,6100,0,8200,-0,0060348583877995642701525054
CLR,-3,6400,2,7750,0,1551198257080610021786492375
CLUB,-0,3883,0,7670,0,0288568627450980392156862745
CLVS,-8,5300,4,9500,-0,3629411764705882352941176471
CLW,-1,1800,5,0800,0,1254030501089324618736383442
CLX,-1,2893,1,6465,0,1757647058823529411764705882
CMA,-0,7900,1,6719,0,0806117647058823529411764706
CMC,-0,2181,0,4918,0,0534444444444444444444444444
CMCO,-0,9020,1,8816,0,0693514161220043572984749455
CMCSA,-0,3822,0,4811,0,0341832244008714596949891068
CMD,-1,0495,1,6336,0,1896409586056644880174291939
CME,-1,5664,2,5303,0,1257638344226579520697167756
CMG,-14,6100,70,6700,2,6757080610021786492374727669
CMI,-6,1214,2,8904,-0,060024618736383442265795207
CMO,-0,2296,0,2165,-0,0006501089324618736383442266
CMP,-1,5643,1,4890,-0,0775069716775599128540305011
CMPR,-2,5700,1,8500,0,0316339869281045751633986928
CMRE,-0,5242,0,6010,0,0262394335511982570806100218
CMRX,-3,4700,1,8300,-0,100457516339869281045751634
CMS,-0,3916,0,6896,0,0222455337690631808278867102
CMTL,-0,3459,1,3698,0,1267867102396514161220043573
CNA,-0,4936,0,7544,0,0442468409586056644880174292
CNBKA,-0,5241,0,7596,-0,0028141612200435729847494553
CNC,-1,6500,1,7850,-0,0447603485838779956427015251
CNK,-0,3785,0,8344,0,0494119825708061002178649237
CNMD,-0,9656,1,1863,0,088194553376906318082788671
CNO,-0,3701,0,7033,0,0387740740740740740740740741
CNOB,-0,6840,1,6023,0,0790494553376906318082788671
CNP,-0,4351,0,6607,0,0434220043572984749455337691
CNS,-0,9242,1,6351,0,0863056644880174291938997821
CNSL,-0,2683,0,3370,0,0430664488017429193899782135
CNTY,-0,4100,0,4300,0,0239869281045751633986928105
CNX,-0,9832,1,6911,0,051398692810457516339869281
CNXN,-0,4405,1,4060,0,1309688453159041394335511983
COBZ,-0,2808,0,8960,0,0345592592592592592592592593
COF,-1,3106,2,4210,0,0558625272331154684095860566
COG,-1,2315,2,0904,-0,0919736383442265795206971678
COHR,-2,0300,1,9900,0,1737690631808278867102396514
COHU,-1,1574,0,3858,-0,0159366013071895424836601307
COKE,-0,9318,1,7002,0,0221189542483660130718954248
COL,-3,9945,1,6239,-0,0666230936819172113289760349
COLB,-0,3694,0,7725,0,0516283224400871459694989107
COLM,-1,4049,1,9988,0,1011668845315904139433551198
CONE,-0,7409,1,1156,0,0233825708061002178649237473
CONN,-3,4500,4,7300,0,2441176470588235294117647059
COO,-2,7253,2,4058,-0,1456346405228758169934640523
COOL,-1,3367,0,9959,-0,0122989106753812636165577342
COP,-1,1990,1,7252,0,0926995642701525054466230937
COR,-1,0157,1,0995,-0,0173603485838779956427015251
CORE,-0,4569,0,5113,0,0598551198257080610021786492
CORR,-0,9095,0,6184,-0,0358084967320261437908496732
CORT,-0,0700,0,1300,0,0023311546840958605664488017
COST,-1,1352,3,4673,0,1255217864923747276688453159
